,년월,시군구,승용관용,승용자가용,승용영업용,승합관용,승합자가용,승합영업용,화물관용,화물자가용,화물영업용,특수관용,특수자가용,특수영업용,승용합계,승합합계,화물합계,특수합계,등록합계
0,202112,강남구,152,200,358,151,218,661,4,348,611,13,179,13,710,1030,963,205,2908
1,202112,강동구,105,126,873,211,132,189,3,721,678,441,154,12,1104,532,1402,607,3645
2,202112,강북구,102,60,845,139,63,86,2,556,719,338,130,7,1007,288,1277,475,3047
3,202112,강서구,125,164,486,485,177,96,5,3,1,6,409,157,775,758,9,572,2114
4,202112,관악구,94,99,15,42,102,151,3,619,310,979,152,9,208,295,932,1140,2575
5,202112,광진구,88,79,766,98,82,952,2,507,391,942,163,10,933,1132,900,1115,4080
6,202112,구로구,102,112,959,31,123,92,4,738,629,431,133,14,1173,246,1371,578,3368
7,202112,금천구,44,69,563,560,73,167,3,143,482,647,68,10,676,800,628,725,2829
8,202112,노원구,87,128,613,715,134,415,3,919,862,833,169,10,828,1264,1784,1012,4888
9,202112,도봉구,92,76,683,513,81,288,2,788,575,415,131,8,851,882,1365,554,3652
10,202112,동대문구,111,80,187,479,82,777,3,32,129,216,146,9,378,1338,164,371,2251
11,202112,동작구,111,93,439,182,94,732,2,621,141,815,147,6,643,1008,764,968,3383
12,202112,마포구,102,100,945,417,105,464,2,928,596,579,166,9,1147,986,1526,754,4413
13,202112,서대문구,203,74,574,165,77,942,2,331,415,850,138,6,851,1184,748,994,3777
14,202112,서초구,207,151,378,952,156,537,3,374,721,223,177,10,736,1645,1098,410,3889
15,202112,성동구,120,82,640,411,93,171,2,224,880,147,161,8,842,675,1106,316,2939
16,202112,성북구,95,103,283,190,105,568,3,306,1,4,476,149,481,863,310,629,2283
17,202112,송파구,125,202,318,531,208,974,4,670,1,6,397,160,645,1713,675,563,3596
18,202112,양천구,119,127,140,538,131,797,3,555,768,381,136,11,386,1466,1326,528,3706
19,202112,영등포구,132,117,96,707,120,935,4,303,171,531,177,15,345,1762,478,723,3308
20,202112,용산구,135,69,749,1,70,885,2,80,60,195,137,5,953,956,142,337,2388
21,202112,은평구,100,111,829,997,115,926,3,631,745,422,149,10,1040,2038,1379,581,5038
22,202112,종로구,1,736,38,743,41,475,666,1,654,3,576,371,775,1259,1321,950,4305
23,202112,중구,280,47,592,16,50,888,1,942,266,969,184,5,919,954,1209,1158,4240
24,202112,중랑구,79,89,13,784,94,876,3,591,553,178,127,11,181,1754,1147,316,3398
25,202112,소계,2911,3294,12382,10058,2726,14044,734,11931,11359,10564,4982,1035,18587,26828,24024,16581,86020
